Illustrate the execution of the in-place heap-sort algorithm on the following input sequence:

Sequence | Heap
( 2, 5,16, 4,10,23,39,18,26,15|)
( 5,16, 4,10,23,39,18,26,15,| 2)
(16, 4,10,23,39,18,26,15,| 2, 5)
( 4,10,23,39,18,26,15,| 2, 5,16)
(10,23,39,18,26,15,| 2, 4,16, 5)
(23,39,18,26,15,| 2, 4,16, 5,10)
(39,18,26,15,| 2, 4,16, 5,10,23)
(18,26,15,| 2, 4,16, 5,10,23,39)
(26,15,| 2, 4,16, 5,10,23,39,18)
(15,| 2, 4,16, 5,10,23,39,18,26)
(| 2, 4,16, 5,10,23,39,18,26,15)
( 2,| 4, 5,16,15,10,23,39,18,26)
( 2, 4,| 5,10,16,15,26,23,39,18)
( 2, 4, 5,|10,15,16,18,26,23,39)
( 2, 4, 5,10,|15,18,16,39,26,23)
( 2, 4, 5,10,15,|16,18,23,39,26)
( 2, 4, 5,10,15,16,|18,26,23,39)
( 2, 4, 5,10,15,16,18,|23,26,39)
( 2, 4, 5,10,15,16,18,23,|26,39)
( 2, 4, 5,10,15,16,18,23,26,|39)
( 2, 4, 5,10,15,16,18,23,26,39|)
